Id,HrmEmployeeId,Organization,Designation,Department,DateFrom,DateTo,Responsibilities
26,229,Secret Recipe ,Team Leader ,F&B,00:00.0,00:00.0,.
27,229,Puro Pastre & Bakery,Team Leader,F&B,00:00.0,00:00.0,.
28,230,"Village Cafe 
Demra",Service Incharge ,Service,00:00.0,00:00.0,Look After the Service operation 
29,230,Cacoon Maldives Resort And spa,Bar Waiter ,F&B,00:00.0,00:00.0,As per assigned responsibilities 
30,231,"Manhattan Fish Market
Dhaka",Team Member,F&B,00:00.0,00:00.0,understand the service sequence 
31,231,"Cold Stone 
Uttara",Team Leader,F&B,00:00.0,00:00.0,"1. Maintain the relation between members
2. Supervise the sequence 
3. Maintain hygiene "
32,231,"Navana Foods Limited
Dhaka",Team Leader ,F&B,00:00.0,00:00.0,"1. Maintain the relation between members
2. Supervise the sequence 
3. Maintain hygiene "
33,232,"Jai's Kitchen (chines Restaurant )
Royal Salangor Club, Kualalumpur, malaysia ",Supervisor ,F&B,00:00.0,00:00.0,"1. Supervise & maintain service 
2. Monitoring food & serving quality
3. Complying health and safety regulation "
34,233,"Sbaro BD ltd
Gulshan 2",Team Member ,F&B,00:00.0,00:00.0,"1. Follow the instruction.
2. maintain the floor "
35,233,"Pizza Guy 
Banani ",Team Member ,F&B,00:00.0,00:00.0,"1. Follow the instruction.
2. Maintain the floor ."
36,233,Chef's Table Courtside ,Team Member ,F&B,00:00.0,00:00.0,"1. Follow the instruction.
2. Maintain the floor ."
37,234,"Officer's Club 
29/Ramna",Server,F&B,00:00.0,00:00.0,.
38,234,"HONGBAO Restaurant 
Gulshan 1",Server ,F&B,00:00.0,00:00.0,.
39,235,Bengal Blue Berry Hotel  ,Hostess ,F&B,00:00.0,00:00.0,1. Welcoming the guests 
40,236,"Herfi Bangladesh 
Gulshan 1",Cashier ,F&B,00:00.0,00:00.0,1. maintain the cash
41,236,"Aristocrat inn 
Gulshan 2",Waitress ,F&B,00:00.0,00:00.0,.
42,236,"Gloria Jeans Coffees 
Gulshan-2 ",Waitress ,F&B,00:00.0,00:00.0,"1. Follow the instruction
2. Maintain the floor 
3. maintain Hygiene  "
43,236,"Four points 
Gulshan 2",Waitress ,F&B,00:00.0,00:00.0,.
45,237,"Hotel Diaz International
Uttara EPZ, Nilphamari ",Front Officer,F&B,00:00.0,00:00.0,1. Greeting the guest . 
46,237,"Fusion Hunt 
Banani, Dhaka.",Manager ,sales ,00:00.0,00:00.0,1. supervise the sales 
47,237,BANGLALINK ,Manager ,Customer Care ,00:00.0,00:00.0,1. Solving the problem of the customer
48,237,"Oyester 
Birgonj, Dinajpur .",Manager ,"Sant, Stone ",00:00.0,00:00.0,"1. maintain supply on time
2. Measure materials perfectly and ensure quality "
49,238,Garlic and Ginger ,Waitress ,F&B,00:00.0,00:00.0,.
50,238,Frides Fast Food ,Barista & Host ,F&B,00:00.0,00:00.0,.
51,238,The Chocolate Room ,Barista ,F&B,00:00.0,00:00.0,.
52,239,Abdul Monem Group ,Brand Promoter ,Marketing & promotion ,00:00.0,00:00.0,"1. Promoting Brand 
2. Maintain relation with Customer 
3. Reach maximum target Customer "
53,240,"Holey Artisan, Pizza Anio, O kitchen",Ass. Chef,F&B ,00:00.0,00:00.0,.
54,240,"7/24 Family Restaurant 
Gulshan Dhaka",C.D.P,NULL,00:00.0,00:00.0,.
55,240,The Fire grill,Executive Chef ,NULL,00:00.0,00:00.0,.
56,241,"Double Dacker
Dhanmondi",Commi-2,NULL,00:00.0,00:00.0,.
57,241,"Hangout
Baridhara",Commi-2,F&B,00:00.0,00:00.0,.
58,241,"Bitter Sweet 
Gulshan 2",Assistant Chef ,NULL,00:00.0,00:00.0,.
59,241,"Crème Dela Cream
Gulshan 2  ",Assistant Chef,NULL,00:00.0,00:00.0,.
60,241,Eden Cafe ,Shu chef ,NULL,00:00.0,00:00.0,.
61,242,"Gloria Jeans Coffees 
71/b Gulshan2. Dhaka 1212",Barista ,NULL,00:00.0,00:00.0,1. Maintain the quality of the drink 
62,242,"Secret Recipe
Gulshan-1 B.T.I ",Barista Team Leader ,NULL,00:00.0,00:00.0,"1. Maintain the team
2. Ensure quality drink
3. Speed service "
63,243,"PAPPA Rich 
Kualalum pur ",Server,F&B,00:00.0,00:00.0,.
64,243,The GOOD Batch ,Bar Supervisor ,F&B ,00:00.0,00:00.0,.
65,243,The GOOD GUYS,Bar Supervisor ,F&B,00:00.0,00:00.0,.
66,243,BETA KL ,Bartender ,F&B ,00:00.0,00:00.0,.
67,261,Microtrade (ICX) ,Jr. Engineer-NOC,NULL,00:00.0,00:00.0,NOC issues
68,262,"Mohakhali, Dhaka",Genew Technology Bangladesh Ltd,"Asst Engineer, NOC",00:00.0,00:00.0,NOC
69,263,"JL Bhaban, 5th Floor, H-1, R-1, Gulshan-1, Dhaka",BDCom Online Ltd,Accounts,00:00.0,00:00.0,Accounts-related task
70,265,Link3 Technologies Ltd,Technician,Customer Support,00:00.0,00:00.0,Internet-related task
71,268,"Arena Phone BD Ltd
2nd Floor, House-2, Road-23/A, Gulshan-1, Dhaka","Sr. Executive, Business Development",NULL,00:00.0,00:00.0,Sales related job
72,270,"Bijoy Online Ltd
Gulshan-1, Dhaka",Technical Support Executive,NOC,00:00.0,00:00.0,NOC related task
73,271,Helix IT Solution Ltd,IT Executive,IT,00:00.0,00:00.0,IT related 
74,272,"Chemexpertz Ltd
Chairman Bari, Banani, Dhaka",Asst. Manager (Marketing),NULL,00:00.0,00:00.0,Marketing related
75,273,"JNS Smartnet Limited
Apt-B2, House-71, Road-27, Gulshan, Dhaka",IT Officer,IT,00:00.0,00:00.0,IT releted task
76,274,"Infolink Ltd
Plot-1,2, Hazi Gafur Avenue, Block-H, Amulia Model Town, Demra, Dhaka",Network Engineer,NOC,00:00.0,00:00.0,NOC related duties
77,282,Infocom Limited,Manager,ISP ,00:00.0,00:00.0,ISP related task
78,284,"NITS Service (PVT) Ltd
Mohakhali, Dhaka",Sr. Officer,Accounts,00:00.0,00:00.0,Accounts related task
79,284,"Ejogajog Limited
Gulshan, Dhaka",Sr. Executive,Accounts,00:00.0,00:00.0,Accounts related task
80,285,"Star link
Add: 130/A, Progoti Sarani, Middle Badda, Dhaka",Technician,NULL,00:00.0,00:00.0,Power releted task
81,287,"Waso Credit Rating Company (BD) Ltd
Add: 67, Tridhara Tower (3rd Floor), west Panthapath, dhaka",Sr. IT Officer,IT & Compliance,00:00.0,00:00.0,IT related task
82,288,"Future Power Engineering Co.
Gulistan Shopping Complex (5th Floor), Room-5/60, Dhaka",Service Engineerr,NULL,00:00.0,00:00.0,Power related works
83,289,Mitali Group of Industries,IT Executive,IT,00:00.0,00:00.0,Network related task
84,298,"Kazi Farm Ltd, Panchoghor",Technician,Technical,00:00.0,00:00.0,Power related task
85,299,"B-Trac Power Unit-1 Ltd, Goripur, Comilla",Electrician,Power,00:00.0,00:00.0,Power related task
86,300,"Infocom, Gulshan",Asst. Manager (Sales & Marketing),Sales,00:00.0,00:00.0,Sales related work
87,301,"Digital Services Ltd &
H-60, R-8/9, B-F, 1st Floor, Banani, Dhaka ",Consultant (Network),Network,00:00.0,00:00.0,Networking issues
88,352,"United Lube Oil, Savar",System Engineer,IT,00:00.0,00:00.0,"Internet, Server, IT, CC TV related work"
89,353,Infolink Ltd,Senir Network Engineer,O&M,00:00.0,00:00.0,1st level support and network related issue.
